,sql_id,nl_query,sql,GT_sql,zhengn,record_id_y,zhengn_code
466,692,How many tracks are in the AAC audio file media type?,"select count ( * ) from MediaType as T1 join Track as T2 on T1.MediaTypeId = T2.MediaTypeId where T1.Name = ""AAC audio file media""","SELECT COUNT(*) FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MediaTypeId  =  T2.MediaTypeId WHERE T1.Name  =  ""AAC audio file""",zhengning,a59004e1-5b55-4434-807e-e1227df19aa0,"CL1, D1"
468,694,Please show the employee first names and ids of employees who serve at least 10 customers.,"select T1.FirstName , T1.EmployeeId from Employee as T1 join Customer as T2 on T1.EmployeeId = T2.SupportRepId group by T2.FirstName having count ( * ) >= 10","SELECT T1.FirstName ,  T1.SupportRepId FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  >=  10",zhengning,f72067ca-7b0f-4a50-b793-48fffa197eef,BN1
471,695,What are the first names and support rep ids for employees serving 10 or more customers?,"select T1.FirstName , T2.FirstName , T3.CustomerId from Employee as T1 join Customer as T2 on T1.EmployeeId = T2.SupportRepId join Invoice as T3 on T2.CustomerId = T3.CustomerId group by T1.EmployeeId having count ( T2.CustomerId ) >= 10","SELECT T1.FirstName ,  T1.SupportRepId FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  >=  10",zhengning,16d11ce8-b350-46a4-9b75-95833770da0e,"O3, BL2, E1, BL1, CL1"
473,696,Please show the employee last names that serves no more than 20 customers.,select T1.LastName from Employee as T1 join Customer as T2 on T1.EmployeeId = T2.SupportRepId where T2.LastName < 20 group by T1.LastName having count ( * ) >= 1,SELECT T1.LastName FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  <=  20,zhengning,3ef57686-2282-415c-be90-98adf8f25723,"O3, F3, CL1"
475,697,What are the last names of employees who serve at most 20 customers?,select T1.LastName from Employee as T1 join Customer as T2 on T1.EmployeeId = T2.SupportRepId where T2.LastName <= 20,SELECT T1.LastName FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  <=  20,zhengning,a876f08b-19aa-4e36-9ea3-5c9a4c0cc207,"F3, A1f"
477,698,What is the average unit price of rock tracks?,"select avg ( T3.UnitPrice ) from Genre as T1 join Track as T2 on T1.GenreId = T2.GenreId join InvoiceLine as T3 on T2.TrackId = T3.TrackId where T1.Name = ""rock""","SELECT AVG(T2.UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Rock""",zhengning,d7986848-35a3-4e48-94da-6be370ce6462,"D1a, E1, CL1"
479,705,What are the names and trade names of the medcines that are FDA approved?,"select name , Trade_Name from medicine where FDA_approved = """"","SELECT name ,  trade_name FROM medicine WHERE FDA_approved  =  'Yes'",zhengning,ffd8e1dd-3b4d-4b35-aa0d-5888dad30f47,D1
481,707,"For every medicine id, what are the names of the medicines that can interact with more than one enzyme?",select T2.name from medicine_enzyme_interaction as T1 join medicine as T2 on T1.medicine_id = T2.id group by T1.medicine_id having count ( * ) > 1,"SELECT T1.id ,  T1.Name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING count(*)  >=  2",zhengning,5918e157-2a99-4ac1-94f3-125e85d28a5f,O3
483,708,What is the id and trade name of the medicines can interact with at least 3 enzymes?,"select T3.id , T2.name from medicine_enzyme_interaction as T1 join medicine as T2 on T1.medicine_id = T2.id join enzyme as T3 on T1.enzyme_id = T3.id group by T1.medicine_id having count ( * ) >= 3","SELECT T1.id ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING COUNT(*)  >=  3",zhengning,140d1be2-4f97-4ebb-acce-e722e7fd63b5,"BN1, E1, CL1"
485,709,What are the ids and trade names of the medicine that can interact with at least 3 enzymes?,"select T1.medicine_id , T2.name from medicine_enzyme_interaction as T1 join medicine as T2 on T1.medicine_id = T2.id group by T1.medicine_id having count ( * ) >= 3","SELECT T1.id ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING COUNT(*)  >=  3",zhengning,4e6a7252-b942-4d8b-951e-1f214ba58c93,"BN1, CL1"
487,710,"What are the distinct name, location and products of the enzymes which has any 'inhibitor' interaction?","select T2.name , T2.Location , T2.Product from medicine_enzyme_interaction as T1 join enzyme as T2 on T1.enzyme_id = T2.id where T1.interaction_type = 'inhibitor'","SELECT DISTINCT T1.name ,  T1.location ,  T1.product FROM enzyme AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.enzyme_id  =  T1.id WHERE T2.interaction_type  =  'inhibitor'",zhengning,f979e5fe-4ae5-4bce-a563-3e3c15351a1a,A1b
489,711,"What are the different names, locations, and products of the enzymes that are capable inhibitor interactions?","select T2.name , T2.Location , T2.Product from medicine_enzyme_interaction as T1 join enzyme as T2 on T1.enzyme_id = T2.id where T1.interaction_type = ""inhibitor""","SELECT DISTINCT T1.name ,  T1.location ,  T1.product FROM enzyme AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.enzyme_id  =  T1.id WHERE T2.interaction_type  =  'inhibitor'",zhengning,270e5c79-a71e-4767-8d61-98ff65c5ffd1,A1b
491,712,"Which enzyme names have the substring ""ALA""?","select name from enzyme where name like ""% ALA %""","SELECT name FROM enzyme WHERE name LIKE ""%ALA%""",zhengning,308aa7a6-c2cf-4301-aa7c-c5d397d859fe,P3
493,715,How many medicines are offered by each trade name?,"select count ( * ) , Trade_Name from medicine group by name","SELECT trade_name ,  count(*) FROM medicine GROUP BY trade_name",zhengning,160f8dac-1295-408a-8ad9-7fc31da40158,BN1
495,718,List all public schools and their locations.,"select School , Location from university","SELECT school ,  LOCATION FROM university WHERE affiliation  =  'Public'",zhengning,53d3ed66-2880-43d4-91c4-a408d138b570,F4
497,719,What are the public schools and what are their locations?,"select School , Location from university","SELECT school ,  LOCATION FROM university WHERE affiliation  =  'Public'",zhengning,330b2340-af4e-4ae7-8dad-6c9771671919,F4
499,720,When was the school with the largest enrollment founded?,select School from university order by Founded desc limit 1,SELECT founded FROM university ORDER BY enrollment DESC LIMIT 1,zhengning,482df8d2-0105-4f49-9a4c-efe98e7e1658,"BK1, BL1"
501,724,Find the location and all games score of the school that has Clemson as its team name.,"select T1.Location , T2.Team_Name from university as T1 join basketball_match as T2 on T1.School_ID = T2.School_ID where T1.School = ""Clemson""","SELECT t2.All_Games ,  t1.location FROM university AS t1 JOIN basketball_match AS t2 ON t1.school_id  =  t2.school_id WHERE team_name  =  'Clemson'",zhengning,60a61fdc-a03f-4bb2-91d7-48ece56a9c9d,"BF4, BL1"
503,725,What are the all games score and location of the school called Clemson?,"select Location , School from university where Nickname = ""Clemson""","SELECT t2.All_Games ,  t1.location FROM university AS t1 JOIN basketball_match AS t2 ON t1.school_id  =  t2.school_id WHERE team_name  =  'Clemson'",zhengning,9cb8c300-2675-4a52-82ea-8a6276ddcfed,"BF4, CE2, CL1"
505,728,What is the total and minimum enrollment of all schools?,"select sum ( Enrollment ) , max ( Enrollment ) from university","SELECT sum(enrollment) ,  min(enrollment) FROM university",zhengning,a1c37695-9726-47a3-af16-5166a85efca0,L4
507,729,Return the total and minimum enrollments across all schools.,"select sum ( Enrollment ) , max ( Enrollment ) from university","SELECT sum(enrollment) ,  min(enrollment) FROM university",zhengning,baf84d6f-cb2a-4424-9e98-a5e21b24891a,L4
509,732,Find the schools that were either founded after 1850 or public.,select School from university where Founded > 1850 or Founded < 1,SELECT school FROM university WHERE founded  >  1850 OR affiliation  =  'Public',zhengning,85aceb0f-40b9-41fe-a221-47ad90e9623e,BF4
511,735,How many universities have a location that contains NY?,"select count ( * ) from university where Location like ""% ny %""","SELECT count(*) FROM university WHERE LOCATION LIKE ""%NY%""",zhengning,f1b89f8c-21fd-44cd-97b8-5bb441f32e66,P3
513,738,Find the total number of students enrolled in the colleges that were founded after the year of 1850 for each affiliation type.,"select Affiliation , count ( Enrollment ) from university where Founded > 1850 group by Affiliation","SELECT sum(Enrollment) ,  affiliation FROM university WHERE founded  >  1850 GROUP BY affiliation",zhengning,b78014c0-941e-4b1e-9bb4-7be6f51deeab,L4
515,740,List all country and league names.,"select country_id , name from League","SELECT T1.name ,  T2.name FROM Country AS T1 JOIN League AS T2 ON T1.id  =  T2.country_id",zhengning,dd8d8939-ec96-494d-ac41-f850051b92cf,"BL1, CE2, CL1"
517,741,How many leagues are there in England?,"select count ( * ) from sqlite_sequence as T1 join League as T2 where T1.seq = ""England""","SELECT count(*) FROM Country AS T1 JOIN League AS T2 ON T1.id  =  T2.country_id WHERE T1.name  =  ""England""",zhengning,066c8866-7154-4455-b659-381076a28296,"F4, CL1"
519,742,What is the maximum and minimum height of all players?,"select max ( height ) , min ( height ) from Player","SELECT max(weight) ,  min(weight) FROM Player",zhengning,b8a23d4e-4a5e-4d35-9301-7ae228b35047,BL1
522,743,List the names of all players who have a crossing score higher than 90 and prefer their right foot.,select T2.player_name from Player_Attributes as T1 join Player as T2 on T1.player_fifa_api_id = T2.player_fifa_api_id where T1.preferred_foot > 90 and T1.crossing > 1,"SELECT DISTINCT T1.player_name FROM Player AS T1 JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id WHERE T2.crossing  >  90 AND T2.preferred_foot  =  ""right""",zhengning,3090ac83-ca37-4d3c-95d8-fe6251501db1,"D1, A1b"
524,744,List the names of all left-footed players who have overall rating between 85 and 90.,select T2.player_name from Player_Attributes as T1 join Player as T2 on T1.player_fifa_api_id = T2.player_fifa_api_id where T1.overall_rating between 85 and 90,"SELECT DISTINCT T1.player_name FROM Player AS T1 JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id WHERE T2.preferred_foot  =  ""left"" AND T2.overall_rating  >=  85 AND T2.overall_rating  <=  90",zhengning,c91d35ae-1d88-4a18-a19d-3d9ba3a4614a,"CE2, A1b"
526,745,What is the average rating for right-footed players and left-footed players?,"select avg ( T1.overall_rating ) from Player_Attributes as T1 join Player as T2 on T1.player_fifa_api_id = T2.player_fifa_api_id where T2.height = ""l"" and T2.weight = ""t""","SELECT preferred_foot ,  avg(overall_rating) FROM Player_Attributes GROUP BY preferred_foot",zhengning,3c26607f-34c7-4ec8-abe1-a12b95437f46,"F3, BL3, E1, AN2"
528,746,"Of all players with an overall rating greater than 80, how many are right-footed and left-footed?",select count ( * ) from Player_Attributes as T1 join Player as T2 on T1.player_fifa_api_id = T2.player_fifa_api_id where T1.overall_rating > 80 and T1.overall_rating > 'right footed',"SELECT preferred_foot ,  count(*) FROM Player_Attributes WHERE overall_rating  >  80 GROUP BY preferred_foot",zhengning,335f259d-e6da-4f38-aa36-84aa855ac9f8,"F3, BL3, E1, AN2"
530,757,Show the names of people and the number of times they have been on the affirmative side of debates.,"select T2.Name , count ( * ) from debate_people as T1 join people as T2 on T1.Affirmative = T2.People_ID where T1.Affirmative = ""affirmative"" group by T1.Negative","SELECT T2.Name ,  COUNT(*) FROM debate_people AS T1 JOIN people AS T2 ON T1.Affirmative  =  T2.People_ID GROUP BY T2.Name",zhengning,4aeffcd4-2d8d-4562-9342-72b96c4c5a28,"F3, BN1"
532,758,Show the names of people who have been on the negative side of debates at least twice.,select T2.Name from debate_people as T1 join people as T2 on T1.Affirmative = T2.People_ID group by T1.Affirmative having count ( * ) >= 2,SELECT T2.Name FROM debate_people AS T1 JOIN people AS T2 ON T1.Negative  =  T2.People_ID GROUP BY T2.Name HAVING COUNT(*)  >=  2,zhengning,b4c3dd00-3a6b-49ea-87a5-27a8d1fcfd61,"BN1, BE5"
534,759,"Find all the policy type codes associated with the customer ""Dayana Robel""","select T1.Policy_Type_Code from Policies as T1 join Claim_Headers as T2 on T1.Policy_ID = T2.Policy_ID where T2.Claim_Type_Code = ""Dayana Robel""","SELECT policy_type_code FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t2.customer_details  =  ""Dayana Robel""",zhengning,9f0aba5a-f751-488b-a57f-8cfa9f6e9d35,"CE3, BE5, BF4"
536,760,"What are the type codes of the policies used by the customer ""Dayana Robel""?","select Policy_Type_Code from Policies where Customer_ID = ""Dayana Robel""","SELECT policy_type_code FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t2.customer_details  =  ""Dayana Robel""",zhengning,912e34fd-bd02-4798-bb5e-7df8f5efc76a,"CF5, D1, CE2"
538,761,Find the total and average amount paid in claim headers.,"select sum ( Amount_Claimed ) , avg ( Amount_Piad ) from Claim_Headers","SELECT sum(amount_piad) ,  avg(amount_piad) FROM claim_headers",zhengning,8bf0786b-e756-40e2-bcb3-514e94f94b76,BL1
540,762,What are the total amount and average amount paid in claim headers?,"select sum ( Amount_Claimed ) , avg ( Amount_Piad ) from Claim_Headers","SELECT sum(amount_piad) ,  avg(amount_piad) FROM claim_headers",zhengning,b49e4c1c-80c0-4ab7-a8d8-0bb7f8b1b550,BL1
542,763,"Find the names of customers whose name contains ""Diana"".","select Customer_Details from Customers where like ""% Diana %""","SELECT customer_details FROM customers WHERE customer_details LIKE ""%Diana%""",zhengning,9c872d09-6cf0-42fd-9633-23387b05c13e,P3
544,765,Find the names of the customers who have an deputy policy.,select Customer_ID from Policies where Policy_Type_Code = 'deputy',"SELECT DISTINCT t2.customer_details FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t1.policy_type_code  =  ""Deputy""",zhengning,6b4c9327-5cfb-4708-bf61-a17a1e0ab63e,"CE2, A1b"
546,771,"Show the id, the account name, and other account details for all accounts by the customer with first name 'Meaghan'.","select T1.account_id , T1.account_name , T1.other_account_details from Accounts as T1 join Customers as T2 on T1.customer_id = T2.customer_id where T2.customer_first_name = ""Meaghan""","SELECT T1.account_id ,  T1.date_account_opened ,  T1.account_name ,  T1.other_account_details FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  'Meaghan'",zhengning,db55dc69-6189-4420-944f-24c38ce16185,BL3
548,775,"Show the unique first names, last names, and phone numbers for all customers with any account.","select customer_first_name , customer_last_name , phone_number from Customers","SELECT DISTINCT T1.customer_first_name ,  T1.customer_last_name ,  T1.phone_number FROM Customers AS T1 JOIN Accounts AS T2 ON T1.customer_id  =  T2.customer_id",zhengning,77d0056e-c4c5-486a-a4d8-506c41967fb4,"CE2, A1b"
550,776,"What are the distinct first names, last names, and phone numbers for customers with accounts?","select T2.customer_first_name , T2.customer_last_name , T2.phone_number from Accounts as T1 join Customers as T2 on T1.customer_id = T2.customer_id where T1.customer_id = 1","SELECT DISTINCT T1.customer_first_name ,  T1.customer_last_name ,  T1.phone_number FROM Customers AS T1 JOIN Accounts AS T2 ON T1.customer_id  =  T2.customer_id",zhengning,bdfc0158-e0c9-4159-bd9f-01c557917044,"F3, A1b"
552,785,How many transaction does each account have? Show the number and account id.,"select count ( * ) , account_id from Financial_Transactions group by transaction_id","SELECT count(*) ,  account_id FROM Financial_transactions",zhengning,e60512d3-bdcf-4a0b-b132-395d95acc9eb,N3
554,786,Count the number of financial transactions that correspond to each account id.,"select account_id , count ( * ) from Financial_Transactions group by account_id","SELECT count(*) ,  account_id FROM Financial_transactions",zhengning,c6a2cd68-f180-4e76-99e0-ae47f7ba1a7c,N3
556,789,"What is the average, minimum, maximum, and total transaction amount?","select avg ( transaction_amount ) , min ( transaction_amount ) , max ( transaction_amount ) from Financial_Transactions","SELECT avg(transaction_amount) ,  min(transaction_amount) ,  max(transaction_amount) ,   sum(transaction_amount) FROM Financial_transactions",zhengning,6692349d-8651-415e-923d-6f761bc0f869,BL3
558,790,"Return the average, minimum, maximum, and total transaction amounts.","select avg ( T1.transaction_amount ) , min ( T6.product_quantity ) , max ( T1.transaction_amount ) from Financial_Transactions as T1 join Accounts as T2 on T1.account_id = T2.account_id join Customers as T3 on T2.customer_id = T3.customer_id join Orders as T4 on T3.customer_id = T4.customer_id join Order_Items as T5 on T4.order_id = T5.order_id join Invoice_Line_Items as T6 on T5.order_item_id = T6.order_item_id","SELECT avg(transaction_amount) ,  min(transaction_amount) ,  max(transaction_amount) ,   sum(transaction_amount) FROM Financial_transactions",zhengning,acf86ba8-fa45-4a7b-bfc6-89466cdce9d1,"E1, CL1"
560,794,"Return the names and ids of each account, as well as the number of transactions.","select T1.account_name , T2.account_id , count ( * ) from Accounts as T1 join Financial_Transactions as T2 on T1.account_id = T2.account_id group by T1.account_name","SELECT T2.account_name ,  T1.account_id ,  count(*) FROM Financial_transactions AS T1 JOIN Accounts AS T2 ON T1.account_id  =  T2.account_id GROUP BY T1.account_id",zhengning,67b090b3-90d0-462d-a60a-e39e748a14fb,"BN1, CL1"
562,804,Return the order ids and details for orderes with two or more invoices.,"select T1.order_id , T2.order_details from Invoices as T1 join Orders as T2 on T1.order_id = T2.order_id group by T1.order_id having count ( * ) >= 2","SELECT T2.order_id ,  T2.order_details FROM Invoices AS T1 JOIN Orders AS T2 ON T1.order_id  =  T2.order_id GROUP BY T2.order_id HAVING count(*)  >  2",zhengning,50fa50aa-c662-4fdb-9043-316c81aceaad,"BK1, CL1"
564,809,Show the product ids and the number of unique orders containing each product.,"select T2.product_id , count ( T1.product_id ) from Invoice_Line_Items as T1 join Order_Items as T2 on T1.order_item_id = T2.order_item_id group by T2.product_id","SELECT product_id ,  count(DISTINCT order_id) FROM Order_items GROUP BY product_id",zhengning,261e811c-a9e1-4ace-84fe-6c6fabae0fc3,"E1, A1b, CL1"
566,810,How many distinct order ids correspond to each product?,"select count ( T2.product_id ) , T1.product_id from Invoice_Line_Items as T1 join Order_Items as T2 on T1.order_item_id = T2.order_item_id group by T2.product_id","SELECT product_id ,  count(DISTINCT order_id) FROM Order_items GROUP BY product_id",zhengning,50597a64-bd4a-456f-9c79-5fa239cb1cce,"E1, CL1"
568,811,Show order ids and the number of products in each order.,"select T2.order_id , count ( * ) from Invoice_Line_Items as T1 join Order_Items as T2 on T1.order_item_id = T2.order_item_id group by T1.product_id","SELECT order_id ,  count(DISTINCT product_id) FROM Order_items GROUP BY order_id",zhengning,b44ee27e-beb8-449b-920c-4569782191bf,"E1, CL1, CL1, A1b"
570,812,How many different products correspond to each order id?,"select count ( T2.product_id ) , T1.product_id from Invoice_Line_Items as T1 join Order_Items as T2 on T1.order_item_id = T2.order_item_id group by T2.product_id","SELECT order_id ,  count(DISTINCT product_id) FROM Order_items GROUP BY order_id",zhengning,9bdecfe6-06f7-48ca-9705-f2f5f70b8d81,"E1, A1b, CL1"
572,815,Find the total savings balance of all accounts except the account with name ‘Brown’.,"select sum ( T1.balance ) from SAVINGS as T1 join ACCOUNTS as T2 on T1.custid = T2.custid where T2.name = ""Brown""",SELECT sum(T2.balance) FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid WHERE T1.name != 'Brown',zhengning,8e9b5807-ad47-4875-a537-d8d1359f461c,A1a
575,818,"What are the names of customers with accounts, and how many checking accounts do each of them have?","select count ( * ) , T1.custid from ACCOUNTS as T1 join CHECKING as T2 on T1.custid = T2.custid group by T2.custid","SELECT count(*) ,  T1.name FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid GROUP BY T1.name",zhengning,fe1af58c-a6b9-4886-bbd5-13c0d67cebab,"BN1, BL1"
577,820,"What are the names of customers with accounts, and what are the total savings balances for each?","select T1.name , sum ( T2.balance ) from ACCOUNTS as T1 join SAVINGS as T2 on T1.custid = T2.custid group by T1.custid","SELECT sum(T2.balance) ,  T1.name FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid GROUP BY T1.name",zhengning,8adef88b-0f76-42da-8ef8-05468e697c77,BN1
579,821,Find the total checking and saving balance of all accounts sorted by the total balance in ascending order.,"select sum ( T1.balance ) , T2.balance from SAVINGS as T1 join CHECKING as T2 on T1.custid = T2.custid order by T1.balance",SELECT T1.balance + T2.balance FROM checking AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid ORDER BY T1.balance + T2.balance,zhengning,2bf83a08-d2f1-48a4-b51e-400be2093a06,"BK1, BL2, L4"
581,822,"What is the sum of checking and savings balances for all customers, ordered by the total balance?","select sum () , T1.balance from SAVINGS as T1 join CHECKING as T2 on T1.custid = T2.custid order by T2.balance",SELECT T1.balance + T2.balance FROM checking AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid ORDER BY T1.balance + T2.balance,zhengning,eb9ca830-53e8-4fc4-9c5c-5dc439168ab8,"L4, BL2, BK1"
583,829,Show each county along with the number of schools and total enrollment in each county.,"select County , count ( * ) from School group by County","SELECT county ,  count(*) ,  sum(enrollment) FROM school GROUP BY county",zhengning,5729f36f-08e9-40d2-a1c5-8cdcea481fd5,BL3
585,830,"How many donors have endowment for school named ""Glenn""?","select count ( * ) from School as T1 join endowment as T2 on T1.School_id = T2.School_id where T1.School_name = ""Glenn""","SELECT count(DISTINCT T1.donator_name) FROM endowment AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id WHERE T2.school_name  =  ""Glenn""",zhengning,6430a22f-7615-4009-87a6-d160ccc9c00e,"BL1, A1b"
587,831,List all the names of schools with an endowment amount smaller than or equal to 10.,select T1.School_name from School as T1 join endowment as T2 on T1.School_id = T2.School_id where T2.amount <= 10,SELECT T2.school_name FROM endowment AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id GROUP BY T1.school_id HAVING sum(T1.amount)  <=  10,zhengning,74c1d7eb-40d5-4afe-b167-acc0c16cfa72,"A1f, F3, AN2"
589,833,How many budgets are above 3000 in year 2001 or before?,select count ( * ) from budget where Year >= 3000,SELECT count(*) FROM budget WHERE budgeted  >  3000 AND YEAR  <=  2001,zhengning,eb7a04aa-afc2-4785-8ee4-36cd891880d7,"F4, BF4"
591,834,Count the number of budgets in year 2001 or before whose budgeted amount is greater than 3000,select count ( * ) from budget where Year < 2001 or Budgeted > 3000,SELECT count(*) FROM budget WHERE budgeted  >  3000 AND YEAR  <=  2001,zhengning,1d0709e4-77d5-48a2-b915-5d1f7053d671,"F1, F2"
593,835,"Show each school name, its budgeted amount, and invested amount in year 2002 or after.","select T2.School_name , T1.Budgeted , T1.total_budget_percent_budgeted from budget as T1 join School as T2 on T1.School_id = T2.School_id where T1.Year >= 2002","SELECT T2.school_name ,  T1.budgeted ,  T1.invested FROM budget AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id WHERE T1.year  >=  2002",zhengning,4bb04883-cc8a-4ac9-88e1-07e214d729dd,BL1
595,836,"What is the total budget amount for school ""Glenn"" in all years?","select sum ( T1.total_budget_percent_budgeted ) from budget as T1 join School as T2 on T1.School_id = T2.School_id where T2.School_name = ""Glenn""",SELECT sum(T1.budgeted) FROM budget AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id WHERE T2.school_name  =  'Glenn',zhengning,c6a70603-209e-4ab4-8941-969a10db9c70,BL1
597,841,"Show the names and locations of institutions that are founded after 1990 and have the type ""Private"".","select Institution , Location from Institution where Type = 1990","SELECT institution ,  LOCATION FROM institution WHERE founded  >  1990 AND TYPE  =  'Private'",zhengning,02dea0c9-b9a7-4a78-a1a1-d4b7d2afdae8,"F4, BF4"
599,842,"Show institution types, along with the number of institutions and total enrollment for each type.","select Type , count ( Enrollment ) from Institution group by Type","SELECT TYPE ,  count(*) ,  sum(enrollment) FROM institution GROUP BY TYPE",zhengning,b802bff7-291f-450d-85de-3c28f0635811,"BL1, BL3"
601,843,Show the institution type with an institution founded after 1990 and an institution with at least 1000 enrollment.,select Type from Institution where Founded > 1990 group by Institution having count ( Enrollment ) >= 1000,SELECT TYPE FROM institution WHERE founded  >  1990 AND enrollment  >=  1000,zhengning,99b1f41f-6bb2-4ac1-b2f2-f7b5432d655f,O2
603,847,Are the customers holding coupons with amount 500 bad or good?,select T2.coupon_id from Discount_Coupons as T1 join Customers as T2 on T1.coupon_id = T2.coupon_id where T2.good_or_bad_customer = 500 or T1.coupon_amount = 1,SELECT T1.good_or_bad_customer FROM customers AS T1 JOIN discount_coupons AS T2 ON T1.coupon_id  =  T2.coupon_id WHERE T2.coupon_amount  =  500,zhengning,76abd477-83e4-44e3-a57d-ddd2ad2830dc,"BE5, BL1, F3"
605,851,"What are the first name, last name, and gender of all the good customers? Order by their last name.","select first_name , last_name , gender_mf from Customers order by good_or_bad_customer","SELECT first_name ,  last_name ,  gender_mf FROM customers WHERE good_or_bad_customer  =  'good' ORDER BY last_name",zhengning,11ad59d0-e3ec-43cd-b259-f7dd502e24dd,"F4, BK1"
607,852,"What are the maximum, minimum, and average booked count for the products booked?","select max ( booked_count ) , min ( booked_amount ) , avg ( booked_count ) from Products_Booked","SELECT max(booked_count) ,  min(booked_count) ,  avg(booked_count) FROM products_booked",zhengning,c8489594-7db4-4909-a553-ba9acaa42cab,BL1
609,854,What are the payment date of the payment with amount paid higher than 300 or with payment type is 'Check',select payment_date from Payments where amount_paid > 300 or payment_type_code = Check,SELECT payment_date FROM payments WHERE amount_paid  >  300 OR payment_type_code  =  'Check',zhengning,5196d3a6-e2b5-409d-883b-07bc95343dba,D1
611,855,What are the names and descriptions of the products that are of 'Cutlery' type and have daily hire cost lower than 20?,"select product_name , product_description from Products_for_Hire where daily_hire_cost < 'Cutlery' and product_type_code = 20","SELECT product_name ,  product_description FROM products_for_hire WHERE product_type_code  =  'Cutlery' AND daily_hire_cost  <  20",zhengning,7af84494-5eaf-459a-bb06-af52eaf40a1d,BF4
613,858,What is the joined year of the pilot of the highest rank?,select Join_Year from pilot order by Rank desc limit 1,SELECT Join_Year FROM pilot ORDER BY Rank ASC LIMIT 1,zhengning,146d5c5f-9796-4021-a349-1cc91798199f,K2
615,862,Show names of pilots that have more than one record.,select T2.Pilot_name from pilot_record as T1 join pilot as T2 on T1.Pilot_ID = T2.Pilot_ID group by T1.Pilot_ID having count ( * ) > 1,"SELECT T2.Pilot_name ,  COUNT(*) FROM pilot_record AS T1 JOIN pilot AS T2 ON T1.pilot_ID  =  T2.pilot_ID GROUP BY T2.Pilot_name HAVING COUNT(*)  >  1",zhengning,8761708e-8e00-4d15-8fcb-711c42087a30,"L5, BL3, BN1"
617,863,What is the role of the employee named Koby?,"select role_code from Employees where employee_name = ""Koby""","SELECT T1.role_description FROM ROLES AS T1 JOIN Employees AS T2 ON T1.role_code = T2.role_code WHERE T2.employee_name = ""Koby"";",zhengning,0b33753d-7580-4a72-8abe-5896fe5e7ea1,"CL1, CE2"
619,865,"How many employees does each role have? List role description, id and number of employees.","select T1.role_description , count () , T2.role_code from Roles as T1 join Employees as T2 on T1.role_code = T2.role_code group by T2.employee_id","SELECT T1.role_description ,  T2.role_code ,  count(*) FROM ROLES AS T1 JOIN Employees AS T2 ON T1.role_code = T2.role_code GROUP BY T2.role_code;",zhengning,49bb39bd-37d2-4627-a969-19c2d694af9f,"BN1, BL1"
621,866,List roles that have more than one employee. List the role description and number of employees.,"select role_description , count ( * ) from Roles group by role_description having count ( * ) > 1","SELECT Roles.role_description , count(Employees.employee_id) FROM ROLES JOIN Employees ON Employees.role_code = Roles.role_code GROUP BY Employees.role_code HAVING count(Employees.employee_id)  >  1;",zhengning,f26aa361-8d19-4c53-80d1-99ff4306500f,"O3, BL1, CE2"
