,sql,nl_query,GT_sql,tianyi,tianyi_code,zhengn,zhengn_code
221,"SELECT checking.balance , checking.balance , accounts.name , SUM( savings.balance ) FROM accounts JOIN checking ON accounts.custid = checking.custid JOIN savings ON accounts.custid = savings.custid ORDER BY checking.balance , accounts.name ASC","What are the names, checking balances, and savings balances of customers, ordered by the total of checking and savings balances descending?","SELECT T2.balance ,  T3.balance ,  T1.name FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid JOIN savings AS T3 ON T1.custid  =  T3.custid ORDER BY T2.balance + T3.balance DESC",tianyi,"BL2, BL1, L4, K2",zhengning,"L4, K2"
222,SELECT department.name FROM department GROUP BY department.name ORDER BY COUNT( * ) DESC LIMIT 1,Which department has the largest number of employees?,SELECT name FROM department GROUP BY departmentID ORDER BY count(departmentID) DESC LIMIT 1;,tianyi,BN1,zhengning,BN1
223,SELECT DISTINCT member.level FROM member,What are the different membership levels?,SELECT count(DISTINCT LEVEL) FROM member,tianyi,L5,zhengning,L5
224,SELECT COUNT( DISTINCT broadcast.program_id ) FROM broadcast WHERE broadcast.time_of_day = 'night',find the number of different programs that are broadcast during night time.,SELECT count(DISTINCT program_id) FROM broadcast WHERE time_of_day  =  'Night',tianyi,D1a,zhengning,D1a
225,"SELECT party.lieutenant_governor , party.comptroller FROM party WHERE party.party = 'democratic'",Show the lieutenant governor and comptroller from the democratic party.,"SELECT Lieutenant_Governor ,  Comptroller FROM party WHERE Party  =  ""Democratic""",tianyi,D1a,zhengning,D1a
226,SELECT invoices.invoice_number FROM invoices WHERE invoices.invoice_date > '1989-09-03' OR invoices.invoice_date<'2007-12-25',Find the invoice numbers which are created before 1989-09-03 or after 2007-12-25.,"SELECT invoice_number FROM invoices WHERE invoice_date < ""1989-09-03"" OR invoice_date > ""2007-12-25""",tianyi,F1,zhengning,F1
227,SELECT DISTINCT invoices.invoice_details FROM invoices WHERE invoices.invoice_date > '1989-09-03' OR invoices.invoice_date<'2007-12-25',Find the distinct details of invoices which are created before 1989-09-03 or after 2007-12-25.,"SELECT DISTINCT invoice_details FROM invoices WHERE invoice_date < ""1989-09-03"" OR invoice_date > ""2007-12-25""",tianyi,F1,zhengning,F1
228,"SELECT artist.country , artist.artist_name FROM artist , song ORDER BY song.rating DESC LIMIT 3",What are the names of the singers who sang the top 3 most highly rated songs and what countries do they hail from?,"SELECT T1.artist_name ,  T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name ORDER BY T2.rating DESC LIMIT 3",tianyi,CE2,zhengning,CE2
229,SELECT COUNT( DISTINCT ref_budget_codes.budget_type_code ) FROM ref_budget_codes,How many budget types do we have?,SELECT count(*) FROM Ref_budget_codes,tianyi,A2a,zhengning,A2a
230,SELECT player.birth_city FROM player GROUP BY player.birth_city ORDER BY COUNT( * ) ASC LIMIT 3,List three countries which are the origins of the least players.,SELECT birth_country FROM player GROUP BY birth_country ORDER BY count(*) ASC LIMIT 3;,tianyi,BL1,zhengning,BL1
231,SELECT COUNT( * ) FROM postseason WHERE postseason.losses = 1885 AND postseason.ties = 1,"How many games in 1885 postseason resulted in ties (that is, the value of ""ties"" is '1')?",SELECT count(*) FROM postseason WHERE YEAR  =  1885 AND ties  =  1;,tianyi,BF4,zhengning,BF4
232,"SELECT products.product_name , COUNT( * ) FROM products JOIN order_items ON products.product_id = order_items.product_id GROUP BY products.product_name",List the name and count of each product in all orders.,"SELECT T3.product_name ,  count(*) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_id",tianyi,"BN1, CE2",zhengning,"CM6, CE2, BN1"
233,SELECT DISTINCT song.song_name FROM song WHERE song.resolution > (SELECT MIN( song.resolution ) FROM song WHERE song.languages = 'English'),Find the distinct names of all songs that have a higher resolution than some songs in English.,"SELECT DISTINCT song_name FROM song WHERE resolution  >  (SELECT min(resolution) FROM song WHERE languages  =  ""english"")",tianyi,D1a,zhengning,D1a
234,SELECT DISTINCT documents.document_name FROM documents_with_expenses JOIN documents ON documents_with_expenses.document_id = documents.document_id WHERE documents.document_name LIKE '%s%',Give the ids of documents that have expenses and contain the letter s in their names.,SELECT T1.document_id FROM Documents AS T1 JOIN Documents_with_expenses AS T2 ON T1.document_id  =  T2.document_id WHERE T1.document_name LIKE '%s%',tianyi,"A2a, CL1, BL1",zhengning,"A2a, BL1"
235,SELECT faculty.lname FROM faculty JOIN member_of ON faculty.facid = member_of.facid JOIN department ON member_of.dno = department.dno WHERE department.dname = 'computer science',What are the last names of faculty who are part of the computer science department?,"SELECT T2.Lname FROM DEPARTMENT AS T1 JOIN FACULTY AS T2 ON T1.DNO  =  T3.DNO JOIN MEMBER_OF AS T3 ON T2.FacID  =  T3.FacID WHERE T1.DName  =  ""Computer Science""",tianyi,D1a,zhengning,D1a
236,SELECT airports.name FROM airports WHERE airports.elevation BETWEEN 50 and 50,What are the names of all airports whose elevation is between -50 and 50?,SELECT name FROM airports WHERE elevation BETWEEN -50 AND 50,tianyi,D1,zhengning,D1
237,"SELECT ref_budget_codes.budget_type_code , documents.document_description , documents.document_id FROM documents , ref_budget_codes , ref_document_types",Show the budget type code and description and the corresponding document id.,"SELECT T2.budget_type_code ,  T2.budget_type_description ,  T1.document_id FROM Documents_with_expenses AS T1 JOIN Ref_budget_codes AS T2 ON T1.budget_type_code  =  T2.budget_type_code",tianyi,"BL1, CE2",zhengning,"BL3, CL1, CE2"
0,SELECT customers.customer_name FROM customers JOIN orders ON customers.customer_id = orders.customer_id WHERE orders.date_order_placed = '2009-01-01' OR orders.date_order_placed<'2010-01-01',Which customers made orders between 2009-01-01 and 2010-01-01? Find their names.,"SELECT T1.customer_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T2.date_order_placed >= ""2009-01-01"" AND T2.date_order_placed <= ""2010-01-01""",tianyi,"F1, F2",zhengning,F2
1,SELECT university.founded FROM university WHERE university.founded > (SELECT MAX( university.founded ) FROM university WHERE university.affiliation != 'public'),What is the founded year of the non public school that was founded most recently?,SELECT founded FROM university WHERE affiliation != 'Public' ORDER BY founded DESC LIMIT 1,tianyi,"D1a, A1a, KA1b",zhengning,"A1a, KA1b"
2,SELECT plays_games.stuid FROM plays_games INTERSECT SELECT sportsinfo.sportname FROM sportsinfo,What are the ids of all students who played video games and sports?,SELECT StuID FROM Sportsinfo INTERSECT SELECT StuID FROM Plays_games,tianyi,CL1,zhengning,CL1
3,"SELECT concert.concert_name , concert.theme , COUNT( * ) FROM concert JOIN singer_in_concert ON concert.concert_id = singer_in_concert.concert_id GROUP BY concert.theme","What are the names , themes , and number of singers for every concert ?","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id",tianyi,BN1,zhengning,"CL1, BN1"
4,"SELECT album.title , album.albumid FROM album JOIN track ON album.albumid = track.albumid WHERE track.unitprice > 1",Show the album names and ids for albums that contain tracks with unit price bigger than 1.,"SELECT T1.Title ,  T2.AlbumID FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId WHERE T2.UnitPrice  >  1 GROUP BY T2.AlbumID",tianyi,AN2,zhengning,"CL1, AN2"
5,SELECT model_list.model FROM model_list GROUP BY model_list.model ORDER BY COUNT( * ) DESC LIMIT 1,What model has the most different versions?,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,tianyi,CL1,zhengning,CL1
6,"SELECT MAX( gradeconversion.gradepoint ) , MIN( gradeconversion.gradepoint ) FROM student WHERE student.city_code = 'NYC'",What is the maximum and minimum grade point of students who live in NYC?,"SELECT max(T2.gradepoint) ,  min(T2.gradepoint) FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID WHERE T3.city_code  =  ""NYC""",tianyi,CE2,zhengning,CE2
7,SELECT student.advisor FROM student,What are the advisors,SELECT advisor FROM Student GROUP BY advisor HAVING count(*)  >=  2,tianyi,"A1f, AN2",zhengning,"AN2, F4"
8,SELECT COUNT( * ) FROM video_games WHERE video_games.gtype = 'Massively multiplayer online',Count the number of video games with Massively multiplayer online game type .,"SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game""",tianyi,D1,zhengning,D1
9,SELECT COUNT( * ) FROM files WHERE files.duration = '4',How many songs have 4 minute duration?,"SELECT count(*) FROM files WHERE duration LIKE ""4:%""",tianyi,D1,zhengning,D1c
10,SELECT shop.district FROM shop WHERE shop.number_products > 3000 INTERSECT SELECT shop.district FROM shop WHERE shop.number_products > 10000,Which district has both stores with less than 3000 products and stores with more than 10000 products?,SELECT district FROM shop WHERE Number_products  <  3000 INTERSECT SELECT district FROM shop WHERE Number_products  >  10000,tianyi,F1,zhengning,D1c
11,SELECT SUM( sportsinfo.gamesplayed ) FROM sportsinfo WHERE sportsinfo.sportname = 'football' AND sportsinfo.onscholarship = 'y',What is the total number of all football games played by scholarship students?,"SELECT sum(gamesplayed) FROM Sportsinfo WHERE sportname  =  ""Football"" AND onscholarship  =  'Y'",tianyi,D1a,zhengning,D1a
12,"SELECT bank.bname , bank.city FROM bank JOIN loan ON bank.branch_id = loan.branch_id WHERE loan.loan_type = 'business'",Find the city and name of bank branches that provide business loans.,"SELECT T1.bname ,  T1.city FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id WHERE T2.loan_type  =  'Business'",tianyi,D1a,zhengning,D1a
13,"SELECT bank.bname , bank.city FROM bank JOIN loan ON bank.branch_id = loan.branch_id WHERE loan.loan_type = 'business'",What are the names and cities of bank branches that offer loans for business?,"SELECT T1.bname ,  T1.city FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id WHERE T2.loan_type  =  'Business'",tianyi,D1a,zhengning,D1a
14,"SELECT COUNT( * ) , car_makers.fullname FROM car_makers JOIN model_list ON car_makers.id = model_list.maker GROUP BY car_makers.maker",How many car models are produced by each maker ? Only list the count and the maker full name .,"select count(*) ,  t2.fullname from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;",tianyi,BE5,zhengning,"CL1, BN1"
15,SELECT * FROM postseason JOIN team ON postseason.team_id_loser = team.team_id_br WHERE team.name = 'Boston Red Stockings' UNION SELECT * FROM postseason JOIN team ON postseason.team_id_loser = team.team_id_br WHERE team.name = 'Boston Red Stockings',How many times in total did the team Boston Red Stockings participate in postseason games?,SELECT count(*) FROM ( SELECT * FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner  =  T2.team_id_br WHERE T2.name  =  'Boston Red Stockings' UNION SELECT * FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser  =  T2.team_id_br WHERE T2.name  =  'Boston Red Stockings' );,tianyi,BL3,zhengning,"L5, CE2"
16,"SELECT airports.name , airports.country , airports.country , airports.elevation FROM airports WHERE airports.city = 'New York'","What is the name, city, country, and elevation for every airport in the city of New York?","SELECT name ,  city ,  country ,  elevation FROM airports WHERE city  =  'New York'",tianyi,BL2,zhengning,"BL2, BL3"
17,SELECT DISTINCT model_list.model FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid WHERE cars_data.year > 1980,Which distinct car models are the produced after 1980?,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;,tianyi,CE3,zhengning,CE2
18,SELECT DISTINCT order_items.product_id FROM orders JOIN order_items ON orders.order_id = order_items.order_id WHERE orders.date_order_placed = '1975-01-01' OR orders.date_order_placed<'1976-01-01',Give me a list of distinct product ids from orders placed between 1975-01-01 and 1976-01-01?,"SELECT DISTINCT T2.product_id FROM orders AS T1 JOIN order_items AS T2 ON T1.order_id = T2.order_id WHERE T1.date_order_placed >= ""1975-01-01"" AND T1.date_order_placed <= ""1976-01-01""",tianyi,"F1, F2",zhengning,"F1, D1"
19,SELECT COUNT( * ) FROM physician JOIN prescribes ON physician.employeeid = prescribes.physician WHERE physician.name = 'John Dorian',How many patients' prescriptions are made by physician John Dorian?,"SELECT count(T1.SSN) FROM patient AS T1 JOIN prescribes AS T2 ON T1.SSN  =  T2.patient JOIN physician AS T3 ON T2.physician  =  T3.employeeid WHERE T3.name = ""John Dorian""",tianyi,"BL1, CL1, CE2",zhengning,"BL1, CE2"
20,SELECT COUNT( * ) FROM routes JOIN airlines ON routes.alid = airlines.alid JOIN airports ON routes.dst_apid = airports.apid WHERE airports.country = 'American Airlines' AND airlines.country = 'Italy',Return the number of routes with destination airport in Italy operated by the airline with name 'American Airlines'.,SELECT count(*) FROM routes AS T1 JOIN airports AS T2 ON T1.dst_apid  =  T2.apid JOIN airlines AS T3 ON T1.alid  =  T3.alid WHERE T2.country  =  'Italy' AND T3.name  =  'American Airlines',tianyi,BF4,zhengning,BF4
21,SELECT SUM( checking.balance ) FROM accounts JOIN savings ON accounts.custid = savings.custid ORDER BY checking.balance ASC,Find the total checking and saving balance of all accounts sorted by the total balance in ascending order.,SELECT T1.balance + T2.balance FROM checking AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid ORDER BY T1.balance + T2.balance,tianyi,"BL3, L4",zhengning,BL1
22,SELECT COUNT( * ) FROM home_game JOIN park ON home_game.park_id = park.park_id WHERE home_game.attendance = 2000 AND park.city = 'Atlanta',How many games were played in city Atlanta in 2000?,SELECT count(*) FROM home_game AS T1 JOIN park AS T2 ON T1.park_id  =  T2.park_id WHERE T1.year  =  2000 AND T2.city  =  'Atlanta';,tianyi,BF4,zhengning,BF4
23,"SELECT DISTINCT tv_channel.pixel_aspect_ratio_par , tv_channel.country FROM tv_channel WHERE tv_channel.language != 'English'",find the pixel aspect ratio and nation of the tv channels that do not use English.,"SELECT Pixel_aspect_ratio_PAR ,  country FROM tv_channel WHERE LANGUAGE != 'English'",tianyi,A2a,zhengning,A2a
24,SELECT MAX( postseason.league_id_loser ) FROM postseason JOIN team ON postseason.team_id_loser = team.team_id_br WHERE team.name = 'Boston Red Stockings',What are the maximum scores the team Boston Red Stockings got when the team won in postseason?,SELECT max(T1.wins) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner  =  T2.team_id_br WHERE T2.name  =  'Boston Red Stockings';,tianyi,BL1,zhengning,BE5
25,SELECT COUNT( * ) FROM company WHERE company.headquarters = 'US',How many companies are headquartered in the US?,SELECT count(*) FROM company WHERE Headquarters  =  'USA',tianyi,D1,zhengning,D1c
26,SELECT customer.cust_name FROM customer WHERE customer.acc_type = 'checking' INTERSECT SELECT customer.cust_name FROM customer WHERE customer.acc_type = 'checking',What are the names of customers who have both savings and checking accounts?,SELECT cust_name FROM customer WHERE acc_type  =  'saving' INTERSECT SELECT cust_name FROM customer WHERE acc_type  =  'checking',tianyi,D1,zhengning,D1
27,SELECT COUNT( * ) FROM home_game JOIN park ON home_game.park_id = park.park_id WHERE home_game.attendance = 1907 AND park.park_alias = 'Columbia Park',"Count the number of games taken place in park ""Columbia Park"" in 1907.",SELECT count(*) FROM home_game AS T1 JOIN park AS T2 ON T1.park_id  =  T2.park_id WHERE T1.year = 1907 AND T2.park_name = 'Columbia Park';,tianyi,BF4,zhengning,BF4
28,SELECT artist.artist_name FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.country = 'UK' AND song.languages = 'English',What are the names of the artists that are from the UK and sang songs in English?,"SELECT artist_name FROM artist WHERE country  =  ""UK"" INTERSECT SELECT artist_name FROM song WHERE languages  =  ""english""",tianyi,D1a,zhengning,"A1g, D1a"
29,SELECT tryout.cname FROM tryout WHERE tryout.ppos = 'goalie' INTERSECT SELECT tryout.cname FROM tryout WHERE tryout.ppos = 'mid',How many schools have some students playing in goalie and mid positions.,SELECT COUNT(*) FROM (SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid'),tianyi,BL3,zhengning,L5
30,SELECT COUNT( * ) FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id ORDER BY stadium.capacity DESC LIMIT 1,What are the number of concerts that occurred in the stadium with the largest capacity ?,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),tianyi,CL1,zhengning,"BL3, E1"
31,"SELECT stadium.stadium_id , COUNT( * ) FROM concert JOIN stadium ON concert.stadium_id = stadium.stadium_id GROUP BY concert.stadium_id","For each stadium, how many concerts play there?","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",tianyi,BL1,zhengning,BL1
32,"SELECT COUNT( * ) , block.blockcode FROM block JOIN room ON block.blockfloor = room.blockfloor JOIN block ON block.blockcode = room.blockcode GROUP BY block.blockcode",Find the number of rooms for different block code?,"SELECT count(*) ,  T1.blockcode FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockcode",tianyi,A1,zhengning,E1
33,SELECT song.song_name FROM song WHERE song.languages = 'English',Find the names of all English songs.,"SELECT song_name FROM song WHERE languages  =  ""english""",tianyi,D1a,zhengning,D1a
34,SELECT COUNT( * ) FROM sportsinfo,How many sports do we have?,SELECT count(DISTINCT sportname) FROM Sportsinfo,tianyi,BL3,zhengning,"BL1, A1b"
35,SELECT model_list.model FROM cars_data JOIN model_list ON cars_data.id = model_list.modelid ORDER BY cars_data.mpg DESC LIMIT 1,"Which model saves the most gasoline? That is to say, have the maximum miles per gallon.",SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.mpg DESC LIMIT 1;,tianyi,"CL1, CE3",zhengning,CL1
36,"SELECT medicine.id , medicine.name , COUNT( * ) FROM medicine_enzyme_interaction JOIN medicine ON medicine_enzyme_interaction.medicine_id = medicine.id GROUP BY medicine.id ORDER BY COUNT( * ) DESC LIMIT 1","What are the ids, names and FDA approval status of medicines in descending order of the number of enzymes that it can interact with.","SELECT T1.id ,  T1.Name ,  T1.FDA_approved FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id ORDER BY count(*) DESC",tianyi,"BL3, F3",zhengning,F3
37,SELECT COUNT( DISTINCT dorm_amenity.amenity_name ) FROM dorm JOIN has_amenity ON dorm.dormid = has_amenity.dormid JOIN dorm_amenity ON has_amenity.amenid = dorm_amenity.amenid,How many diffrent dorm amenities are there?,SELECT count(*) FROM dorm_amenity,tianyi,"F3, A1b",zhengning,"E1, A1b"
38,"SELECT roles.role_description , COUNT( employees.employee_id ) FROM employees JOIN employees ON employees.role_code = employees.employee_id WHERE roles.role_description != roles.role_description GROUP BY employees.role_code",List roles that have more than one employee. List the role description and number of employees.,"SELECT Roles.role_description , count(Employees.employee_id) FROM ROLES JOIN Employees ON Employees.role_code = Roles.role_code GROUP BY Employees.role_code HAVING count(Employees.employee_id)  >  1;",tianyi,"CE3, F3, A1f",zhengning,"F4, F3, BE5"
39,SELECT shop.name FROM shop WHERE shop.shop_id = 'no',Which shops run with no employees? Find the shop names,SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),tianyi,D1,zhengning,F4
40,SELECT documents.document_id FROM documents WHERE documents.document_description = 'Government',Give the ids for documents that have the budget description 'Government'.,"SELECT T1.document_id FROM Documents_with_expenses AS T1 JOIN Ref_Budget_Codes AS T2 ON T1.Budget_Type_code  =  T2.Budget_Type_code WHERE T2.budget_type_Description  =  ""Government""",tianyi,"CL1, CE2",zhengning,"CL1, CE3"
41,SELECT SUM( grants.grant_amount ) FROM grants WHERE grants.grant_id = 'research',What is the total amount of grant money for research?,SELECT sum(grant_amount) FROM Grants AS T1 JOIN Organisations AS T2 ON T1.organisation_id  =  T2.organisation_id JOIN organisation_Types AS T3 ON T2.organisation_type  =  T3.organisation_type WHERE T3.organisation_type_description  =  'Research',tianyi,"D1a, BF4, CF5, CE2",zhengning,"CE2, BF4"
42,"SELECT project_staff.project_id , COUNT( * ) FROM project_staff GROUP BY project_staff.project_id","For each project id, how many staff does it have? List them in increasing order.","SELECT T1.project_id ,  count(*) FROM Project_Staff AS T1 JOIN Projects AS T2 ON T1.project_id  =  T2.project_id GROUP BY T1.project_id ORDER BY count(*) ASC",tianyi,"CE2, KA1b",zhengning,"KA1b, CE2"
43,SELECT station.location FROM station JOIN train_station ON station.station_id = train_station.station_id,What are all locations of train stations?,SELECT DISTINCT LOCATION FROM station,tianyi,E1,zhengning,"E1, A1b"
44,SELECT tv_channel.content FROM tv_channel JOIN tv_series ON tv_channel.id = tv_series.channel WHERE tv_channel.series_name = 'Sky Radio',What is the content of the series Sky Radio?,"SELECT Content FROM TV_Channel WHERE series_name = ""Sky Radio"";",tianyi,E1,zhengning,E1
45,SELECT AVG( song.rating ) FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.gender = 'female',What is the average rating of songs produced by female artists?,"SELECT avg(T2.rating) FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T1.gender  =  ""Female""",tianyi,D1a,zhengning,D1a
46,"SELECT COUNT( * ) , shop.name FROM shop JOIN hiring ON shop.shop_id = hiring.shop_id GROUP BY shop.shop_id","For each shop, return the number of employees working there and the name of the shop.","SELECT count(*) ,  t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t2.name",tianyi,BN1,zhengning,"BL3, BN1"
47,SELECT COUNT( * ) FROM lessons WHERE lessons.lesson_status_code = 'cancelled',How many lessons were in cancelled state?,"SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";",tianyi,D1a,zhengning,D1a
48,SELECT photos.name FROM photos JOIN camera_lens ON photos.camera_lens_id = camera_lens.id WHERE camera_lens.brand = 'Sigma' OR camera_lens.brand = 'Olympus',What are the names of photos taken with the lens brand 'Sigma' or 'Olympus'?,SELECT T1.name FROM camera_lens AS T1 JOIN photos AS T2 ON T2.camera_lens_id  =  T1.id WHERE T1.brand  =  'Sigma' OR T1.brand  =  'Olympus',tianyi,CL1,zhengning,BL3
49,SELECT * FROM endowment WHERE endowment.amount > 8.5 GROUP BY endowment.school_id HAVING COUNT( * ) > 1,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,SELECT count(*) FROM (SELECT * FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1),tianyi,BL3,zhengning,"L5, CL1"
50,SELECT accounts.account_details FROM accounts WHERE accounts.account_details LIKE '%5%',"Return the account details with the greatest value, as well as those that include the character 5.","SELECT max(Account_details) FROM Accounts UNION SELECT Account_details FROM Accounts WHERE Account_details LIKE ""%5%""",tianyi,"L5, A1e, BL3",zhengning,L5
51,SELECT program.name FROM program JOIN broadcast ON program.program_id = broadcast.program_id WHERE broadcast.time_of_day = 'morning',Which programs are never broadcasted in the morning? Give me the names of the programs.,"SELECT name FROM program EXCEPT SELECT t1.name FROM program AS t1 JOIN broadcast AS t2 ON t1.program_id  =  t2.program_id WHERE t2.Time_of_day  =  ""Morning""",tianyi,"D1a, A1d",zhengning,"A1d, D1a"
52,SELECT artist.country FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.gender = 'female' AND song.languages = 'Bangla',What is the country of origin of the artist who is female and produced a song in Bangla?,"SELECT T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T1.gender  =  ""Female"" AND T2.languages  =  ""bangla""",tianyi,D1a,zhengning,D1a
53,SELECT ship.name FROM ship WHERE ship.nationality NOT IN (SELECT AVG( ship.name ) FROM ship ORDER BY ship.nationality ASC LIMIT ship.nationality),What are the names of the ships  that are from either the US or the UK?,"SELECT Name FROM ship WHERE Nationality  =  ""United States"" OR Nationality  =  ""United Kingdom""",tianyi,"F4, F3",zhengning,"F4, F3"
54,SELECT COUNT( * ) FROM student JOIN lives_in ON student.stuid = lives_in.stuid JOIN dorm ON dorm.dormid = lives_in.dormid WHERE dorm.dorm_name = 'Smith Hall' AND student.sex = 'f',How many female students live in Smith Hall?,SELECT count(*) FROM student AS T1 JOIN lives_in AS T2 ON T1.stuid  =  T2.stuid JOIN dorm AS T3 ON T3.dormid  =  T2.dormid WHERE T3.dorm_name  =  'Smith Hall' AND T1.sex  =  'F',tianyi,D1a,zhengning,D1a
55,SELECT accounts.account_details FROM accounts WHERE accounts.account_details LIKE '%5%',What are the account details with the largest value or with value having char '5' in it?,"SELECT max(Account_details) FROM Accounts UNION SELECT Account_details FROM Accounts WHERE Account_details LIKE ""%5%""",tianyi,"A1e, L5",zhengning,"A1e, L4"
56,SELECT stadium.name FROM stadium WHERE stadium.stadium_id NOT IN (SELECT concert.stadium_id FROM stadium WHERE concert.year = 2014),What are the names of all stadiums that did not have a concert in 2014?,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,tianyi,A1d,zhengning,A1d
57,SELECT person.name FROM person EXCEPT SELECT personfriend.name FROM personfriend WHERE personfriend.friend = 'students',What are the names of the people who have no friends who are students?,SELECT name FROM person EXCEPT SELECT T2.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.friend WHERE T1.job  =  'student',tianyi,CE2,zhengning,CE2
58,SELECT patient.name FROM appointment JOIN patient ON appointment.patient = patient.ssn ORDER BY appointment.appointmentid ASC LIMIT 1,What is the name of the patient who made the most recent appointment?,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient ORDER BY T2.start DESC LIMIT 1,tianyi,K2,zhengning,K2
59,SELECT university.school FROM university WHERE university.founded > 1850 OR university.affiliation = 'public',Find the schools that were either founded after 1850 or public.,SELECT school FROM university WHERE founded  >  1850 OR affiliation  =  'Public',tianyi,D1a,zhengning,D1a
60,SELECT sportsinfo.stuid FROM sportsinfo WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',What are the ids of all female students who play football?,"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football""",tianyi,"D1a, A1g",zhengning,"D1a, A1g"
61,SELECT COUNT( * ) FROM routes JOIN airports ON routes.dst_apid = airports.apid WHERE airports.country = 'Italian',What is the number of routes whose destinations are Italian airports?,SELECT count(*) FROM routes AS T1 JOIN airports AS T2 ON T1.dst_apid  =  T2.apid WHERE T2.country  =  'Italy',tianyi,D1c,zhengning,D1c
62,SELECT COUNT( * ) FROM team_franchise WHERE team_franchise.active = 'y',"How many team franchises are active, with active value 'Y'?",SELECT count(*) FROM team_franchise WHERE active = 'Y';,tianyi,D1a,zhengning,D1a
63,"SELECT airport.international_passengers , airport.domestic_passengers FROM airport WHERE airport.airport_name = 'Heathrow'","What are the number of international and domestic passengers of the airport named London ""Heathrow""?","SELECT International_Passengers ,  Domestic_Passengers FROM airport WHERE Airport_Name  =  ""London Heathrow""",tianyi,D1,zhengning,D1c
64,SELECT dorm.dorm_name FROM dorm WHERE dorm.gender = 'f',What are the names of the all-female dorms?,SELECT dorm_name FROM dorm WHERE gender  =  'F',tianyi,D1a,zhengning,D1a
